City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la'ie,21.6477,-157.9253,295.71,83,62,1.79,US,1707496580
1,grytviken,-54.2811,-36.5092,277.32,79,92,6.98,GS,1707496580
2,port-aux-francais,-49.35,70.2167,280.71,93,72,15.29,TF,1707496581
3,west island,-12.1568,96.8225,301.14,78,45,3.6,CC,1707496581
4,el granada,37.5027,-122.4694,282.31,92,0,0.45,US,1707496582
5,albany,42.6001,-73.9662,282.24,59,84,1.79,US,1707496201
6,castillos,-34.1667,-53.8333,303.36,56,33,6.55,UY,1707496582
7,hawaiian paradise park,19.5933,-154.9731,293.17,95,100,3.6,US,1707496583
8,hithadhoo,-0.6,73.0833,301.68,70,99,6.12,MV,1707496583
9,klaksvik,62.2266,-6.589,273.66,74,100,10.03,FO,1707496583
10,severo-yeniseyskiy,60.3725,93.0408,266.25,91,100,3.13,RU,1707496584
11,nar'yan-mar,67.6713,53.087,258.77,95,87,3.58,RU,1707496584
12,argostolion,38.1811,20.489,289.68,56,40,2.06,GR,1707496585
13,avarua,-21.2078,-159.775,300.18,74,75,5.66,CK,1707496586
14,olonkinbyen,70.9221,-8.7187,270.5,63,6,5.25,SJ,1707496586
15,k'asp'i,41.9252,44.4257,280.55,79,36,1.84,GE,1707496586
16,fort mcmurray,56.7268,-111.381,265.92,73,100,2.57,CA,1707496587
17,longyearbyen,78.2186,15.6401,267.06,73,75,2.06,SJ,1707496587
18,sitka,57.0531,-135.33,276.09,70,100,9.26,US,1707496521
19,puerto natales,-51.7236,-72.4875,290.4,48,75,11.32,CL,1707496348
20,constantia,44.1833,28.65,285.53,70,39,5.24,RO,1707496588
21,blackmans bay,-43.0167,147.3167,283.22,78,7,2.83,AU,1707496588
22,nurota,40.5614,65.6886,284.63,34,17,4.31,UZ,1707496589
23,robore,-18.3333,-59.75,306.2,58,20,9.26,BO,1707496589
24,medicine hat,50.0501,-110.6683,269.43,86,100,5.14,CA,1707496471
25,trairi,-3.2778,-39.2689,304.58,60,68,5.74,BR,1707496297
26,edinburgh of the seven seas,-37.0676,-12.3116,292.79,90,94,11.11,SH,1707496590
27,arraial do cabo,-22.9661,-42.0278,305.13,70,20,7.2,BR,1707496591
28,utrik,11.2278,169.8474,299.39,72,100,10.08,MH,1707496591
29,flin flon,54.7682,-101.865,258.06,92,100,2.57,CA,1707496592
30,padang,-0.9492,100.3543,298.18,88,71,1.65,ID,1707496592
31,waitangi,-43.9535,-176.5597,285.9,63,3,3.42,NZ,1707496592
32,lompoc,34.6391,-120.4579,284.7,65,100,1.54,US,1707496583
33,belmonte,-15.8631,-38.8828,299.08,77,98,2.29,BR,1707496593
34,afaahiti,-17.75,-149.2833,298.08,81,98,3.66,PF,1707496593
35,port mathurin,-19.6833,63.4167,300.33,74,70,9.7,MU,1707496511
36,atasu,48.6814,71.6433,275.63,77,98,10.21,KZ,1707496594
37,adamstown,-25.066,-130.1015,298.34,88,100,6.46,PN,1707496595
38,nova sintra,14.8667,-24.7167,294.68,70,0,6.53,CV,1707496595
39,college,64.8569,-147.8028,261.73,82,75,0.0,US,1707496595
40,vargem grande,-3.5431,-43.9158,306.63,49,77,2.69,BR,1707496596
41,natal,-5.795,-35.2094,305.51,58,40,7.2,BR,1707496391
42,olinda,-8.0089,-34.8553,304.0,70,40,5.66,BR,1707496596
43,puerto ayora,-0.7393,-90.3518,302.13,82,89,2.68,EC,1707496597
